,number_of_agent_moves,number_of_target_moves,total_examining_count,flat_examined,hilly_examined,forest_examined,message
0,0,0,0,0,0,0,found goal
1,6,2,2,1,1,0,found goal
2,19,4,2,2,0,0,found goal
3,0,0,0,0,0,0,found goal
4,50,8,5,1,3,1,found goal
5,48,10,5,0,3,2,found goal
6,11,3,2,1,1,0,found goal
7,77,13,6,0,5,1,found goal
8,11,4,1,1,0,0,found goal
9,2,0,1,1,0,0,found goal
10,49,11,6,4,2,0,found goal
11,16,2,1,1,0,0,found goal
12,0,0,0,0,0,0,found goal
13,0,0,0,0,0,0,found goal
14,0,0,0,0,0,0,found goal
15,2,0,1,1,0,0,found goal
16,7,2,1,0,1,0,found goal
17,10,2,2,2,0,0,found goal
18,23,4,1,0,1,0,found goal
19,4,1,2,1,0,1,found goal
20,19,4,2,1,1,0,found goal
21,0,0,0,0,0,0,found goal
22,25,5,4,4,0,0,found goal
23,0,0,0,0,0,0,found goal
24,20,2,2,2,0,0,found goal
25,12,5,5,1,3,1,found goal
26,20,5,2,2,0,0,found goal
27,0,0,0,0,0,0,found goal
28,11,3,1,1,0,0,found goal
29,10,3,3,3,0,0,found goal
30,0,0,0,0,0,0,found goal
31,46,7,4,4,0,0,found goal
32,40,7,7,2,0,5,found goal
33,20,4,2,2,0,0,found goal
34,21,4,2,1,1,0,found goal
35,5,1,1,1,0,0,found goal
36,9,1,1,1,0,0,found goal
37,32,6,2,1,1,0,found goal
38,4,1,2,1,0,1,found goal
39,4,1,2,0,2,0,found goal
40,0,0,0,0,0,0,found goal
41,20,5,3,1,0,2,found goal
42,9,2,3,3,0,0,found goal
43,6,1,1,1,0,0,found goal
44,0,0,0,0,0,0,found goal
45,17,3,3,1,2,0,found goal
46,31,5,2,1,1,0,found goal
47,39,4,3,0,1,2,found goal
48,8,2,2,2,0,0,found goal
49,101,12,5,1,3,1,found goal
50,0,0,0,0,0,0,found goal
51,8,1,1,1,0,0,found goal
52,25,6,2,1,0,1,found goal
53,8,2,1,1,0,0,found goal
54,46,9,4,0,3,1,found goal
55,18,7,4,4,0,0,found goal
56,0,0,0,0,0,0,found goal
57,23,7,2,0,2,0,found goal
58,0,0,0,0,0,0,found goal
59,0,0,0,0,0,0,found goal
60,45,8,4,1,1,2,found goal
61,5,1,1,1,0,0,found goal
62,22,5,2,2,0,0,found goal
63,114,12,4,2,1,1,found goal
64,10,1,1,1,0,0,found goal
65,21,4,3,3,0,0,found goal
66,29,6,5,5,0,0,found goal
67,0,0,0,0,0,0,found goal
68,56,8,2,1,1,0,found goal
69,0,0,0,0,0,0,found goal
70,0,0,0,0,0,0,found goal
71,0,0,0,0,0,0,found goal
72,2,0,1,1,0,0,found goal
73,0,0,0,0,0,0,found goal
74,0,0,0,0,0,0,found goal
75,14,3,2,2,0,0,found goal
76,0,0,0,0,0,0,found goal
77,125,9,6,6,0,0,found goal
78,8,3,2,1,0,1,found goal
79,96,15,11,8,3,0,found goal
80,0,0,0,0,0,0,found goal
81,0,0,0,0,0,0,found goal
82,13,2,2,2,0,0,found goal
83,155,40,27,27,0,0,found goal
84,157,31,20,20,0,0,found goal
85,82,26,16,16,0,0,found goal
86,496,78,52,52,0,0,found goal
87,147,31,20,20,0,0,found goal
88,182,90,90,90,0,0,found goal
89,447,141,125,125,0,0,found goal
90,107,10,5,4,0,1,found goal
