agent6.actions,agent6.flat_exam, agent6.hilly_exam,agent6.forest_exam,agent7.actions,agent7.flat_exam,agent7.hilly_exam,agent7.forest_exam,            agent8.actions,agent8.flat_exam, agent8.hilly_exam, agent8.forest_exam
23685, 558, 564, 1908, 41925, 1116, 1692, 2536, 11467, 702, 1005, 981
36948, 553, 1154, 2819, 25516, 1106, 1154, 1490, 14564, 906, 1305, 1319
70610, 1083, 1701, 4528, 5648, 358, 369, 319, 3146, 199, 313, 201
54989, 534, 1515, 3982, 49627, 1068, 1515, 3214, 14789, 891, 1244, 1520
9715, 565, 573, 535, 3405, 213, 221, 180, 1095, 75, 111, 57
11864, 570, 620, 788, 18128, 908, 1240, 852, 16232, 910, 1531, 1733
6093, 1077, 0, 0, 7797, 1405, 0, 0, 3075, 631, 0, 0
4751, 918, 0, 0, 20701, 3603, 0, 0, 2841, 571, 0, 0
2052, 364, 0, 0, 9244, 1571, 0, 0, 11996, 2438, 0, 0
15820, 2861, 0, 0, 4980, 939, 0, 0, 6266, 1297, 0, 0
137027, 1476, 2845, 8745, 1115, 64, 80, 72, 6919, 420, 613, 542
76555, 1182, 1701, 5665, 69529, 1182, 2268, 4919, 343, 23, 34, 22
38959, 555, 1086, 2615, 27491, 1110, 1086, 1421, 10029, 642, 914, 708
2882, 172, 182, 207, 30542, 1128, 1473, 1779, 23184, 1132, 1917, 3304
31222, 588, 877, 2276, 1818, 105, 117, 97, 2358, 131, 220, 154
8861, 1547, 0, 0, 9425, 1634, 0, 0, 10377, 2124, 0, 0
58758, 545, 1624, 3878, 287138, 2725, 5781, 14958, 5158, 334, 433, 367
7847, 436, 453, 465, 3777, 233, 242, 185, 9905, 544, 844, 688
13354, 565, 546, 894, 6968, 445, 429, 372, 6058, 376, 550, 416
1960, 109, 114, 148, 4670, 277, 283, 265, 1698, 108, 143, 110
24952, 550, 570, 1795, 25698, 1100, 1140, 1332, 16524, 959, 1425, 1613
74452, 887, 1659, 4552, 18948, 941, 1106, 877, 1330, 102, 105, 76
32206, 572, 840, 2196, 30994, 1144, 1343, 1647, 14160, 904, 1257, 1266
32782, 572, 859, 2272, 56260, 1144, 1903, 3408, 18692, 1059, 1546, 2101
25798, 540, 528, 2033, 1890, 122, 116, 121, 23600, 1115, 1882, 3346
1886, 105, 112, 120, 5682, 363, 359, 355, 9442, 591, 851, 897
5206, 931, 0, 0, 5500, 991, 0, 0, 9718, 2030, 0, 0
7893, 464, 479, 523, 42105, 1134, 1713, 2645, 11723, 761, 1037, 992
7461, 1305, 0, 0, 12459, 1908, 0, 0, 2763, 516, 0, 0
1691, 110, 102, 117, 809, 59, 53, 55, 779, 44, 72, 60
63851, 1196, 1875, 4458, 18683, 946, 1250, 896, 24079, 1272, 2199, 3216
6098, 1129, 0, 0, 2198, 410, 0, 0, 1414, 276, 0, 0
14982, 576, 558, 1021, 4346, 302, 250, 213, 18786, 1073, 1566, 2105
3803, 771, 0, 0, 9915, 1747, 0, 0, 4885, 1001, 0, 0
23182, 560, 547, 1856, 99996, 1680, 2735, 5895, 22112, 1107, 1780, 3212
7793, 439, 506, 446, 16213, 654, 1146, 663, 21137, 1075, 1862, 2557
4849, 293, 321, 303, 53571, 1072, 1803, 3588, 9773, 541, 877, 979
1186, 82, 73, 80, 4992, 318, 334, 305, 8184, 507, 803, 624
74341, 799, 1611, 4528, 7083, 446, 441, 411, 6911, 474, 599, 438
5414, 322, 314, 338, 45164, 1154, 1638, 2618, 11888, 763, 1039, 1015
42550, 567, 1076, 3085, 49060, 1134, 1614, 3069, 6450, 421, 556, 503
8155, 1438, 0, 0, 6675, 1212, 0, 0, 23251, 5165, 0, 0
8317, 1546, 0, 0, 8911, 1615, 0, 0, 12295, 2602, 0, 0
3743, 203, 236, 229, 2517, 146, 174, 146, 2605, 151, 202, 159
206447, 1734, 4018, 11990, 6551, 415, 413, 351, 9349, 558, 868, 688
6265, 400, 382, 425, 16227, 717, 1132, 766, 8865, 540, 810, 650
6266, 420, 387, 399, 6636, 433, 425, 390, 4176, 286, 350, 263
8595, 1569, 0, 0, 13525, 2513, 0, 0, 4947, 1049, 0, 0
905, 158, 0, 0, 18615, 3186, 0, 0, 9251, 1818, 0, 0
108219, 1132, 2320, 7701, 8821, 540, 553, 507, 577, 35, 37, 33
